 Sites Name , site ID , Region , District , Site Status (Grid/Prime) , ESCOM , Tank Size , Opening  Litres , Litres Dispensed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
 St Therese/Liwonde Hospital , TN33018 , South , Machinga , OFF GRID  , PREPAID  ," 1,000 "," 1,000 ", -   , 440 , 440 ," 2,866 "," 3,050 ", 184 , 2 ,, -   , -   , -   
 Dzunje , TN21018 , South , Zomba , OFF GRID  , PREPAID  , 600 , 619 , 920 ," 1,043 "," 1,043 "," 2,760 "," 2,895 ", 135 , 8 ,, -   , -   , -   
 MPOTOLA , TN31035 , South , Machinga , OFF GRID  , PREPAID  , 600 , 344 , 375 , 550 , 550 ," 14,632 "," 14,706 ", 74 , 7 ,, -   , -   , -   
 Dzenje , TN45013 , South , Zomba , OFF GRID  , PREPAID  ," 1,000 ", 710 , -   , 570 , 570 ," 1,300 "," 1,342 ", 42 , 14 ,, -   , -   , -   
 chingondo , TN31010 , South , Zomba , OFF GRID  , PREPAID  , 600 , 600 , -   , 600 , 600 ," 19,810 "," 19,810 ", -   ,#DIV/0!,, -   , -   , -   
 Namasalima , TN31033 , South , Zomba , OFF GRID  , PREPAID  , 600 , 600 , -   , 600 , 600 , 318 , 318 , -   ,#DIV/0!,, -   , -   , -   
 Ulumba , TN31034 , South , Zomba , OFF GRID  , PREPAID  , 600 , 510 , -   , 325 , 325 , 202 , 310 , 108 , 3 ,, -   , -   , -   
 Skinner(former Chanco) , TN30028 , South , Zomba , OFF GRID  , PREPAID  , 600 , 490 , -   , 490 , 490 ," 13,842 "," 13,842 ", -   ,#DIV/0!,, -   , -   , -   
 KOKOLO , TN45014 , South , Zomba , OFF GRID  , PREPAID  ," 1,000 ", 630 , 820 ," 1,000 "," 1,000 "," 3,015 "," 3,200 ", 185 , 5 ,, -   , -   , -   
 MBANIRA , TN33021 , South , Machinga , OFF GRID  , PREPAID  , 600 , 560 , -   , 400 , 400 ," 6,030 "," 6,096 ", 66 , 6 ,, -   , -   , -   
 NANYUMBU ,, South , Machinga , OFF GRID , PREPAID  ,,, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 KAWINGA , TN33020 , South , Machinga , OFF GRID  , PREPAID  ," 1,000 ", 600 , 907 , 770 , 770 ," 4,809 "," 5,200 ", 391 , 2 ,, -   , -   , -   
 GOSHEN CITY , TN34055 , South , Mangochi , OFF GRID  , PREPAID  ," 1,000 ", 792 ," 1,239 "," 1,000 "," 1,000 "," 3,212 "," 3,461 ", 249 , 4 ,, -   , -   , -   
 NTCHEU SHOP , TNMShop , South , Ntcheu , GRID , PREPAID  ," 1,000 ",, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 MANGOCHI SHOP , TNMShop , South , Mangochi , GRID , PREPAID  ," 1,000 ",, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 LIKUNGWATI OLD DG , TN30009 , South , Zomba , GRID , PREPAID  ," 1,000 ",, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 KATEMA , TN34014  , South , Mangochi , GRID , PREPAID  ," 1,000 ", 139 , 561 , 514 , 514 ," 19,857 "," 19,896 ", 39 , 13 ,, -   , -   , -   
 NKOPOLA BACKUP DG , TN34039 , South , Mangochi , GRID , PREPAID  ," 1,000 ", 520 , -   , 520 , 520 ," 28,622 "," 28,622 ", -   ,#DIV/0!,, -   , -   , -   
