Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
M'buka,TN20054 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,595,5,650,652,2, 2.5 ,0,0,0,0,,M'buka,,
Area 49 Mvama,TN20075 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,0,400,100,16596,16653,57, 1.8 ,0,0,0,0,,Area 49 Mvama,,
Chilinde Parish,TN20094 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,485,250,500,235,7571,7658,87, 2.7 ,0,0,0,0,,Chilinde Parish,,
Chimutu,TN20099 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,600,500,600,3897,4135,238, 2.5 ,0,0,0,0,,Chimutu,,
MCP/UNICEF,TN20136 ,Lilongwe,Lilongwe,Grid,Prepaid,600,550,0,530,20,20137,20137,0,#DIV/0!,0,0,0,0,,MCP/UNICEF,,
Maluwa,TN23202 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,380,436,506,310,1683,1775,92, 3.4 ,0,0,0,0,,Maluwa,,
Chawantha,TN28011 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,0,600,0,2764,2764,0,#DIV/0!,0,0,0,0,,Chawantha,,
Kakoma estate,TN23201 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,0,690,0,3957,3957,0,#DIV/0!,0,0,0,0,,Kakoma estate,,
Nthumbidwa,TN17006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,0,0,-,#VALUE!,1718,1718,0,#VALUE!,0,0,0,0,,Nthumbidwa,,
TECHNICAL  NEW Dg,LLDC003,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,1000,0,648,648,0,#DIV/0!,0,0,0,0,,TECHNICAL  NEW Dg,,
Kabungwe,TN23204 ,Lilongwe,Mchinji,Grid,Prepaid,1000,1000,672,1000,672,2222,2424,202, 3.3 ,0,0,0,0,,Kabungwe,,
Chilinde Mosque,TN20212 ,Lilongwe,Lilongwe,Grid,Prepaid,600,550,0,350,200,411,411,0,#DIV/0!,0,0,0,0,,Chilinde Mosque,,
Katete BYPASS,TN20051 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,223,800,600,423,10560,10694,134, 3.2 ,0,0,0,0,,Katete BYPASS,,
Area 25 A,TN20039 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,561,0,48,513,9743,9777,34, 15.1 ,0,0,0,0,,Area 25 A,,
LINTHIPE 3,TN22009 ,Lilongwe,Dedza,Grid,Prepaid,1000,550,950,1000,500,8688,8835,147, 3.4 ,0,0,0,0,,LINTHIPE 3,,
Area 49 New Shire,TN20076 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,645,0,645,0,12303,12303,0,#DIV/0!,0,0,0,0,,Area 49 New Shire,,
Chisinga,TN23099 ,Lilongwe,Kasungu,Grid,Prepaid,1000,440,970,1000,410,8463,8530,67, 6.1 ,0,0,0,0,,Chisinga,,
NEW GULLIVER,TN20174 ,Lilongwe,Lilongwe,Grid,Prepaid,600,519,0,486,33,14187,14223,36, 0.9 ,0,0,0,0,,NEW GULLIVER,,
LUMBADZI RESIDENTIAL,TN20211 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,430,200,400,230,3101,3176,75, 3.1 ,0,0,0,0,,LUMBADZI RESIDENTIAL,,
MALEMBO,TN23135 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,0,750,0,4321,4321,0,#DIV/0!,0,0,0,0,,MALEMBO,,
WAKAWAKA,TN20056 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,540,0,480,60,6812,6842,30, 2.0 ,0,0,0,0,,WAKAWAKA,,
KAFUMU,TN27004 ,Lilongwe,Salima,Grid,Prepaid,1000,500,500,670,330,4052,4165,113, 2.9 ,0,0,0,0,,KAFUMU,,
NKHOTA-KOTA NEW,TN26011 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,40,600,40,16464,16479,15, 2.7 ,0,0,0,0,,NKHOTA-KOTA NEW,,
KASUNTHA,TN24006 ,Lilongwe,Dowa,Grid,Prepaid,1000,118,245,118,245,4877,5106,229, 1.1 ,0,0,0,0,,KASUNTHA,,
